country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Chhattisgarh,Bhilai,"Hathkhoj, Bhilai - CECB","07-11-2024 05:00:00",21.224231,81.408350,OZONE,4,93,13
India,Chhattisgarh,Chhal,"Nawapara SECL Colony, Chhal - CECB","07-11-2024 05:00:00",22.118125,83.140608,OZONE,1,160,5
India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB","07-11-2024 05:00:00",26.1209,85.3647,OZONE,40,76,49
India,Chhattisgarh,Bhilai,"32Bungalows, Bhilai - CECB","07-11-2024 05:00:00",21.194815,81.314770,OZONE,1,197,10
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB","07-11-2024 05:00:00",27.103358,93.679645,OZONE,3,3,3
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB","07-11-2024 05:00:00",25.697189,85.245900,OZONE,6,89,9
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB","07-11-2024 05:00:00",25.586562,85.043586,OZONE,7,37,13
India,Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB","07-11-2024 05:00:00",27.308328,84.531742,OZONE,10,12,11
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA","07-11-2024 05:00:00",26.10887,91.589544,OZONE,10,20,15
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB","07-11-2024 05:00:00",14.675886,77.593027,OZONE,6,82,28
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA","07-11-2024 05:00:00",26.349082,92.68449,OZONE,3,16,12
India,Chhattisgarh,Kunjemura,"OP Jindal School, Kunjemura - CECB","07-11-2024 05:00:00",22.126650,83.483212,OZONE,3,31,5
India,Delhi,Delhi,"Sonia Vihar, Delhi - DPCC","07-11-2024 05:00:00",28.710508,77.249485,OZONE,4,68,18
India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC","07-11-2024 05:00:00",28.732820,77.170633,OZONE,3,82,10
India,Gujarat,Ahmedabad,"Raikhad, Ahmedabad - IITM","07-11-2024 05:00:00",23.020509,72.579261,OZONE,4,160,5
India,Chhattisgarh,Raipur,"Siltara Phase-II, Raipur - CECB","07-11-2024 05:00:00",21.371751,81.664929,OZONE,3,8,3
India,Delhi,Delhi,"Alipur, Delhi - DPCC","07-11-2024 05:00:00",28.815329,77.153010,OZONE,2,307,6
India,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC","07-11-2024 05:00:00",28.567890,77.250515,OZONE,7,308,23
India,Delhi,Delhi,"DTU, Delhi - CPCB","07-11-2024 05:00:00",28.7500499,77.1112615,OZONE,3,26,13
India,Delhi,Delhi,"Shadipur, Delhi - CPCB","07-11-2024 05:00:00",28.6514781,77.1473105,OZONE,8,323,59
India,Gujarat,Ahmedabad,"Maninagar, Ahmedabad - GPCB","07-11-2024 05:00:00",23.002657,72.591912,OZONE,2,93,7
India,Karnataka,Bengaluru,"Shivapura_Peenya, Bengaluru - KSPCB","07-11-2024 05:00:00",13.0246342,77.5080115,OZONE,25,26,26
India,Haryana,"Yamuna Nagar","Gobind Pura, Yamuna Nagar - HSPCB","07-11-2024 05:00:00",30.1480566,77.2893471,OZONE,4,133,14
India,Gujarat,Ahmedabad,"SVPI Airport Hansol, Ahmedabad - IITM","07-11-2024 05:00:00",23.076793,72.627874,OZONE,1,60,2
India,Gujarat,Ahmedabad,"Sardar Vallabhbhai Patel Stadium, Ahmedabad - IITM","07-11-2024 05:00:00",23.043070,72.562968,OZONE,3,79,4
India,Haryana,Panchkula,"Sector-6, Panchkula - HSPCB ","07-11-2024 05:00:00",30.7057778,76.8531805555555,OZONE,16,71,53
India,Haryana,Panipat,"Sector-18, Panipat - HSPCB","07-11-2024 05:00:00",29.432304,76.972765,OZONE,30,30,30
India,Gujarat,Gandhinagar,"GIFT City, Gandhinagar - IITM","07-11-2024 05:00:00",23.163798,72.677768,OZONE,3,64,4
India,Haryana,Faridabad,"New Industrial Town, Faridabad - HSPCB","07-11-2024 05:00:00",28.39072,77.30059,OZONE,30,51,30
India,Karnataka,Belgaum,"Ramteerth Nagar, Belgaum - KSPCB","07-11-2024 05:00:00",15.888653,74.541751,OZONE,20,21,21
India,Haryana,Ambala,"Patti Mehar, Ambala - HSPCB","07-11-2024 05:00:00",30.379589,76.778328,OZONE,15,26,18
India,Haryana,Gurugram,"Sector-51, Gurugram - HSPCB","07-11-2024 05:00:00",28.4227,77.0667,OZONE,15,86,20
India,Karnataka,Koppal,"Diwator Nagar, Koppal - KSPCB","07-11-2024 05:00:00",15.347630,76.181767,OZONE,14,41,20
India,Karnataka,Hassan,"B.Katihalli, Hassan - KSPCB","07-11-2024 05:00:00",13.008556,76.125258,OZONE,2,2,2
India,Karnataka,Karwar,"KHB Colony, Karwar - KSPCB","07-11-2024 05:00:00",14.816666,74.141003,OZONE,17,22,22
India,Karnataka,Bengaluru,"Silk Board, Bengaluru - KSPCB","07-11-2024 05:00:00",12.917348,77.622813,OZONE,6,26,7
India,Karnataka,Bidar,"Naubad, Bidar - KSPCB","07-11-2024 05:00:00",17.930306,77.482194,OZONE,NA,NA,NA
India,"Madhya Pradesh",Bhopal,"Idgah Hills, Bhopal - MPPCB","07-11-2024 05:00:00",23.264759,77.381568,OZONE,24,106,34
India,Karnataka,Chikkamagaluru,"Kalyana Nagara, Chikkamagaluru - KSPCB","07-11-2024 05:00:00",13.328028,75.797056,OZONE,14,48,17
India,Karnataka,Shivamogga,"Vinoba Nagara, Shivamogga - KSPCB","07-11-2024 05:00:00",13.940000,75.555917,OZONE,9,70,12
India,Kerala,Kollam,"Polayathode, Kollam - Kerala PCB","07-11-2024 05:00:00",8.8787,76.6073,OZONE,NA,NA,NA
India,"Madhya Pradesh",Ratlam,"Shasthri Nagar, Ratlam - IPCA Lab","07-11-2024 05:00:00",23.331731,75.045981,SO2,42,45,44
India,"Madhya Pradesh",Sagar,"Deen Dayal Nagar, Sagar - MPPCB","07-11-2024 05:00:00",23.8640158,78.80289321,CO,24,28,25
India,"Madhya Pradesh",Gwalior,"City Center, Gwalior - MPPCB","07-11-2024 05:00:00",26.203442,78.193251,OZONE,17,56,18
India,"Madhya Pradesh",Gwalior,"Deen Dayal Nagar, Gwalior - MPPCB","07-11-2024 05:00:00",26.259242,78.216432,OZONE,12,154,42
India,Maharashtra,Mumbai,"Mulund West, Mumbai - MPCB","07-11-2024 05:00:00",19.1750,72.9419,OZONE,7,8,7
India,Maharashtra,Mumbai,"Powai, Mumbai - MPCB","07-11-2024 05:00:00",19.137500,72.915056,OZONE,1,13,4
India,Maharashtra,Mumbai,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB","07-11-2024 05:00:00",19.10078,72.87462,OZONE,7,8,7
India,Maharashtra,Mumbai,"Deonar, Mumbai - IITM","07-11-2024 05:00:00",19.04946,72.9230,OZONE,4,121,16
India,Maharashtra,Mumbai,"Byculla, Mumbai - BMC","07-11-2024 05:00:00",18.9767,72.8380,OZONE,4,288,36
India,Maharashtra,Mumbai,"Chembur, Mumbai - MPCB","07-11-2024 05:00:00",19.0364585,72.8954371,OZONE,17,141,38
India,Maharashtra,Mumbai,"Siddharth Nagar-Worli, Mumbai - IITM","07-11-2024 05:00:00",19.000083,72.813993,OZONE,5,257,66
India,"Madhya Pradesh",Singrauli,"Suryakiran Bhawan NCL, Singrauli - MPPCB","07-11-2024 05:00:00",24.108970,82.645580,OZONE,8,70,13
India,"Madhya Pradesh",Jabalpur,"Marhatal, Jabalpur - MPPCB","07-11-2024 05:00:00",23.168606,79.932247,OZONE,2,46,3
India,Odisha,Byasanagar,"Ferro Chrome Colony, Byasanagar - OSPCB","07-11-2024 05:00:00",20.94185,86.11510,OZONE,12,113,30
India,Maharashtra,"Navi Mumbai","Sector-19A Nerul, Navi Mumbai - IITM","07-11-2024 05:00:00",19.044,73.0325,OZONE,1,77,2
India,Maharashtra,"Navi Mumbai","Sector-2E Kalamboli, Navi Mumbai - MPCB","07-11-2024 05:00:00",19.02579,73.10297,OZONE,4,69,12
India,Maharashtra,Pune,"Hadapsar, Pune - IITM","07-11-2024 05:00:00",18.501793,73.927532,OZONE,16,45,29
India,Punjab,"Mandi Gobindgarh","RIMT University, Mandi Gobindgarh - PPCB","07-11-2024 05:00:00",30.649961,76.331442,OZONE,54,69,64
India,Rajasthan,Ajmer,"Civil Lines,  Ajmer - RSPCB","07-11-2024 05:00:00",26.470859,74.646594,OZONE,10,103,17
India,Manipur,Imphal,"DM College of Science, Imphal - Manipur PCB","07-11-2024 05:00:00",24.8207389,93.9423085,CO,6,6,6
India,Punjab,Jalandhar,"Civil Line, Jalandhar - PPCB","07-11-2024 05:00:00",31.321907,75.578914,OZONE,13,66,25
India,Punjab,Khanna,"Kalal Majra, Khanna - PPCB","07-11-2024 05:00:00","30.736056 ",76.209694,OZONE,10,54,11
India,Maharashtra,Pimpri-Chinchwad,"Thergaon, Pimpri Chinchwad - MPCB","07-11-2024 05:00:00",18.616318,73.765797,OZONE,1,77,4
India,Odisha,Rourkela,"Raghunathpali, Rourkela - OSPCB","07-11-2024 05:00:00",22.220833,84.809444,OZONE,3,64,5
India,Rajasthan,Churu,"Subash Chowk, Churu - RSPCB","07-11-2024 05:00:00",28.296139,74.961696,OZONE,27,189,69
India,TamilNadu,Chennai,"Arumbakkam, Chennai - TNPCB","07-11-2024 05:00:00",13.0664,"80.2112 ",SO2,6,24,11
India,TamilNadu,Chennai,"Perungudi, Chennai - TNPCB","07-11-2024 05:00:00",12.9533,80.2357,OZONE,11,16,16
India,Rajasthan,Jodhpur,"Digari Kalan, Jodhpur - RSPCB","07-11-2024 05:00:00",26.295810,73.082283,OZONE,8,39,9
India,Rajasthan,Jodhpur,"Mandor, Jodhpur - RSPCB","07-11-2024 05:00:00",26.358805,73.047444,OZONE,6,100,62
India,Rajasthan,Jhalawar,"Rajlaxmi Nagar, Jhalawar - RSPCB","07-11-2024 05:00:00",24.588397,76.172782,OZONE,1,131,6
India,Rajasthan,Jodhpur,"Samrat Ashok Udhyan, Jodhpur - RSPCB","07-11-2024 05:00:00",26.253384,72.976571,OZONE,6,158,31
India,Rajasthan,Kota,"Dhanmandi, Kota - RSPCB","07-11-2024 05:00:00",25.164090,75.858137,OZONE,8,126,9
India,Rajasthan,Kota,"Nayapura, Kota - RSPCB","07-11-2024 05:00:00",25.196024,75.855668,OZONE,6,163,7
India,Rajasthan,"Sri Ganganagar","Old City, Sri Ganganagar - RSPCB","07-11-2024 05:00:00",29.931624,73.864511,OZONE,9,92,12
India,Rajasthan,Jaipur,"Adarsh Nagar, Jaipur - RSPCB","07-11-2024 05:00:00",26.902909,75.836858,OZONE,9,107,24
India,TamilNadu,Chengalpattu,"Crescent University, Chengalpattu - TNPCB","07-11-2024 05:00:00",12.8777316,80.0834807,OZONE,6,6,6
India,TamilNadu,Gummidipoondi,"Anthoni Pillai Nagar, Gummidipoondi - TNPCB","07-11-2024 05:00:00",13.4127,80.1081,SO2,3,83,23
India,Uttar_Pradesh,Bareilly,"Civil Lines, Bareilly - UPPCB","07-11-2024 05:00:00",28.359581,79.414455,OZONE,20,21,20
India,TamilNadu,Tiruchirappalli,"St Joseph College, Tiruchirappalli - TNPCB","07-11-2024 05:00:00",10.830158,78.691849,CO,10,11,11
India,TamilNadu,Tirunelveli,"Municipal Corporation Office, Tirunelveli - TNPCB","07-11-2024 05:00:00",8.728442,77.6962,OZONE,6,7,6
India,Telangana,Hyderabad,"IDA Pashamylaram, Hyderabad - TSPCB","07-11-2024 05:00:00",17.5316895,78.218939,OZONE,4,28,10
India,Telangana,Hyderabad,"Kokapet, Hyderabad - TSPCB","07-11-2024 05:00:00",17.393559,78.339194,OZONE,17,97,47
India,TamilNadu,Ranipet,"VOC Nagar_SIPCOT, Ranipet - TNPCB","07-11-2024 05:00:00",12.952707,79.30394,OZONE,1,1,1
India,TamilNadu,Thanjavur,"Parisutham Nagar, Thanjavur - TNPCB","07-11-2024 05:00:00",10.7654824,79.1389968,OZONE,4,24,18
India,Telangana,Hyderabad,"Nacharam_TSIIC IALA, Hyderabad - TSPCB","07-11-2024 05:00:00",17.429398,78.569354,OZONE,27,35,28
India,Uttar_Pradesh,Agra,"Sector-3B Avas Vikas Colony, Agra - UPPCB","07-11-2024 05:00:00",27.19412,77.96237,OZONE,NA,NA,NA
India,Telangana,Hyderabad,"ECIL Kapra, Hyderabad - TSPCB","07-11-2024 05:00:00",17.470431,78.566959,OZONE,NA,NA,NA
India,Uttar_Pradesh,Agra,"Shastripuram, Agra - UPPCB","07-11-2024 05:00:00",27.19862,77.92066,OZONE,1,14,2
India,Uttar_Pradesh,Kanpur,"Nehru Nagar, Kanpur - UPPCB","07-11-2024 05:00:00",26.4703136,80.3229863,OZONE,7,340,12
India,Uttar_Pradesh,Firozabad,"Vibhab Nagar, Firozabad - UPPCB","07-11-2024 05:00:00",27.1594,78.3953,OZONE,12,31,13
India,Uttar_Pradesh,Ghaziabad,"Indirapuram, Ghaziabad - UPPCB","07-11-2024 05:00:00",28.646233,77.358075,OZONE,5,192,86
India,Uttar_Pradesh,Jhansi,"Shivaji Nagar, Jhansi - UPPCB","07-11-2024 05:00:00",25.4547,78.6039,OZONE,NA,NA,NA
India,Uttar_Pradesh,Kanpur,"FTI Kidwai Nagar, Kanpur - UPPCB","07-11-2024 05:00:00",26.428282,80.327067,OZONE,9,43,10
India,Uttarakhand,Kashipur,"Govt. Girls Inter College, Kashipur - UKPCB","07-11-2024 05:00:00",29.2124114,78.9611753,OZONE,1,43,6
India,Uttar_Pradesh,Noida,"Sector - 125, Noida - UPPCB","07-11-2024 05:00:00",28.5447608,77.3231257,OZONE,11,34,18
India,Uttar_Pradesh,Ghaziabad,"Vasundhara, Ghaziabad - UPPCB","07-11-2024 05:00:00",28.6603346,77.3572563,OZONE,3,293,4
India,Uttar_Pradesh,Moradabad,"Buddhi Vihar, Moradabad - UPPCB","07-11-2024 05:00:00",28.83526,78.74460,OZONE,6,22,7
India,Uttar_Pradesh,Lucknow,"Lalbagh, Lucknow - CPCB","07-11-2024 05:00:00",26.8458805,80.9365541,OZONE,47,70,53
India,Uttar_Pradesh,Varanasi,"Maldahiya, Varanasi - UPPCB","07-11-2024 05:00:00",25.32393,82.99687,OZONE,1,13,1
India,West_Bengal,Asansol,"Mahabir Colliery, Asansol - WBPCB","07-11-2024 05:00:00",23.6181830,87.1057180,OZONE,7,16,8
India,West_Bengal,Durgapur,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB","07-11-2024 05:00:00",23.5404352,87.2892225,OZONE,2,65,4
India,West_Bengal,Haldia,"Priyambada Housing Estate, Haldia - WBPCB","07-11-2024 05:00:00",22.06047,88.109737,OZONE,24,48,27
India,West_Bengal,Howrah,"Botanical Garden, Howrah - WBPCB","07-11-2024 05:00:00",22.554954,88.292568,OZONE,3,74,8
India,West_Bengal,Kolkata,"Bidhannagar, Kolkata - WBPCB","07-11-2024 05:00:00",22.58157048,88.41002457,OZONE,26,205,27
India,West_Bengal,Kolkata,"Fort William, Kolkata - WBPCB","07-11-2024 05:00:00",22.556640,88.342674,OZONE,18,29,23
India,West_Bengal,Kolkata,"Rabindra Sarobar, Kolkata - WBPCB","07-11-2024 05:00:00",22.51106,88.35142,OZONE,7,79,15
India,West_Bengal,Siliguri,"Ward-32 Bapupara, Siliguri - WBPCB","07-11-2024 05:00:00",26.6879226,88.4152495,OZONE,11,44,13
India,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB","07-11-2024 05:00:00",25.610369,85.132568,OZONE,25,30,26
India,Bihar,Gaya,"Collectorate, Gaya - BSPCB","07-11-2024 05:00:00",24.7955,84.9994,OZONE,19,20,19
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA","07-11-2024 05:00:00",26.187500,91.744194,OZONE,16,17,17
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","07-11-2024 05:00:00",16.9872867,81.7363176,OZONE,13,197,16
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA","07-11-2024 05:00:00",26.071318,91.87488,OZONE,22,28,23
India,Bihar,"Bihar Sharif","D M Colony, Bihar Sharif - BSPCB","07-11-2024 05:00:00",25.204762,85.514960,OZONE,14,50,30
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB","07-11-2024 05:00:00",13.204880,79.097889,OZONE,55,55,55
India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB","07-11-2024 05:00:00",26.80365,84.51954,OZONE,21,31,24
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB","07-11-2024 05:00:00",25.5626095,84.663264,OZONE,3,71,21
India,Delhi,Delhi,"ITO, Delhi - CPCB","07-11-2024 05:00:00",28.628624,77.241060,OZONE,6,49,6
India,Chandigarh,Chandigarh,"Sector-53, Chandigarh - CPCC","07-11-2024 05:00:00",30.719859,76.738637,OZONE,3,87,4
India,Delhi,Delhi,"New Moti Bagh, Delhi - MHUA","07-11-2024 05:00:00",28.57834,77.18400,CO,90,176,98
India,Chhattisgarh,Raipur,"AIIMS, Raipur - CECB","07-11-2024 05:00:00",21.258815,81.578979,OZONE,1,36,1
India,Delhi,Delhi,"Lodhi Road, Delhi - IITM","07-11-2024 05:00:00",28.588333,77.221667,SO2,11,41,26
India,Delhi,Delhi,"Mundka, Delhi - DPCC","07-11-2024 05:00:00",28.684678,77.076574,OZONE,13,59,20
India,Delhi,Delhi,"Bawana, Delhi - DPCC","07-11-2024 05:00:00",28.776200,77.051074,OZONE,7,264,10
India,Chhattisgarh,Milupara,"Govt. Higher Secondary School, Milupara - CECB","07-11-2024 05:00:00",22.1910172,83.5197009,CO,NA,NA,NA
India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB","07-11-2024 05:00:00",28.6811736,77.3025234,OZONE,11,13,12
India,Gujarat,Ahmedabad,"Chandkheda, Ahmedabad - IITM","07-11-2024 05:00:00",23.107969,72.574648,OZONE,7,196,16
India,Karnataka,Bengaluru,"Kasturi Nagar, Bengaluru - KSPCB","07-11-2024 05:00:00",13.003872,77.664217,OZONE,43,56,43
India,Karnataka,Bengaluru,"Sanegurava Halli, Bengaluru - KSPCB","07-11-2024 05:00:00",12.990328,77.5431385,CO,24,44,31
India,Delhi,Delhi,"Pusa, Delhi - DPCC","07-11-2024 05:00:00",28.639652,77.146275,OZONE,1,62,24
India,Gujarat,Gandhinagar,"IIPHG Lekawada, Gandhinagar - IITM","07-11-2024 05:00:00",23.243639,72.68994,OZONE,NA,NA,NA
India,Gujarat,Gandhinagar,"Sector-10, Gandhinagar - GPCB","07-11-2024 05:00:00",23.221714,72.654328,OZONE,5,39,7
India,Haryana,Gurugram,"Vikas Sadan, Gurugram - HSPCB","07-11-2024 05:00:00",28.4501238,77.0263051,OZONE,6,56,15
India,Haryana,Hisar,"Urban Estate-II, Hisar - HSPCB","07-11-2024 05:00:00",29.140560,75.744941,OZONE,18,64,25
India,Delhi,Delhi,"Patparganj, Delhi - DPCC","07-11-2024 05:00:00",28.623763,77.287209,OZONE,6,68,25
India,Gujarat,Ahmedabad,"SAC ISRO Bopal, Ahmedabad - IITM","07-11-2024 05:00:00",23.041137,72.456691,OZONE,9,79,14
India,"Madhya Pradesh",Katni,"Gole Bazar, Katni - MPPCB","07-11-2024 05:00:00",23.50016,80.23284,OZONE,6,142,30
India,"Madhya Pradesh",Maihar,"Sahilara, Maihar - KJS Cements","07-11-2024 05:00:00",24.2613009,80.7231783,CO,44,64,51
India,Karnataka,Hubballi,"Lingaraj Nagar, Hubballi - KSPCB","07-11-2024 05:00:00",15.3714823,75.1160168,OZONE,14,59,21
India,Karnataka,Kalaburagi,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB","07-11-2024 05:00:00",17.321993,76.822628,OZONE,8,34,16
India,Karnataka,Dharwad,"Kalabhavan, Dharwad - KSPCB","07-11-2024 05:00:00",15.459706,75.008381,OZONE,21,57,23
India,Karnataka,Gadag,"Panchal Nagar, Gadag - KSPCB","07-11-2024 05:00:00",15.411456,75.638133,OZONE,26,65,36
India,"Madhya Pradesh",Damoh,"Shrivastav Colony, Damoh - MPPCB","07-11-2024 05:00:00",23.81748678,79.446246,CO,21,22,22
India,"Madhya Pradesh",Dewas,"Bhopal Chauraha, Dewas - MPPCB","07-11-2024 05:00:00",22.9682591,76.064118,OZONE,50,100,79
India,Karnataka,Raichur,"Haji Colony, Raichur - KSPCB","07-11-2024 05:00:00",16.208139,77.348417,OZONE,3,196,126
India,"Madhya Pradesh",Sagar,"Civil Lines, Sagar - MPPCB","07-11-2024 05:00:00",23.838586,78.759431,OZONE,48,211,100
India,Karnataka,Tumakuru,"Thimmalapura, Tumakuru - KSPCB","07-11-2024 05:00:00",13.377516,77.099072,OZONE,5,9,6
India,Kerala,Eloor,"Udyogamandal, Eloor - Kerala PCB","07-11-2024 05:00:00",10.073232,76.302765,OZONE,10,13,11
India,Karnataka,Hubballi,"Deshpande Nagar, Hubballi - KSPCB","07-11-2024 05:00:00",15.351773,75.140726,OZONE,16,17,17
India,Maharashtra,Mumbai,"Malad West, Mumbai - IITM","07-11-2024 05:00:00",19.19709,72.82204,OZONE,4,98,21
India,Maharashtra,Boisar,"Khaira, Boisar - MPCB","07-11-2024 05:00:00",19.786089,72.757971,OZONE,56,123,70
India,Maharashtra,Mumbai,"Borivali East, Mumbai - MPCB","07-11-2024 05:00:00",19.2243333,72.8658113,OZONE,2,13,3
India,Maharashtra,Mumbai,"Colaba, Mumbai - MPCB","07-11-2024 05:00:00",18.910000,72.820000,OZONE,8,11,11
India,Maharashtra,Belapur,"CBD Belapur, Belapur - MPCB","07-11-2024 05:00:00",19.0243902,73.0406721,OZONE,13,129,28
India,Maharashtra,Bhiwandi,"Gokul Nagar, Bhiwandi - MPCB","07-11-2024 05:00:00",19.309073,73.057223,OZONE,3,88,11
India,Maharashtra,Kolhapur,"Sinchan Bhavan, Kolhapur - MPCB","07-11-2024 05:00:00",16.7143745,74.2426398,OZONE,4,76,21
India,Maharashtra,Jalna,"Old MIDC, Jalna - MPCB","07-11-2024 05:00:00",19.854616,75.905894,OZONE,34,79,37
India,Maharashtra,Mumbai,"Bandra Kurla Complex, Mumbai - MPCB","07-11-2024 05:00:00",19.065931,72.862131,OZONE,1,173,9
India,Maharashtra,"Navi Mumbai","Nerul, Navi Mumbai - MPCB","07-11-2024 05:00:00",19.008751,73.016620,OZONE,28,38,36
India,Maharashtra,"Navi Mumbai","Sanpada, Navi Mumbai - MPCB","07-11-2024 05:00:00",19.0575752,73.0151367,OZONE,3,98,35
India,Maharashtra,Pune,"Savitribai Phule Pune University, Pune - MPCB","07-11-2024 05:00:00",18.547056,73.826908,OZONE,NA,NA,NA
India,Maharashtra,Pimpri-Chinchwad,"Gavalinagar, Pimpri Chinchwad - MPCB","07-11-2024 05:00:00",18.63673,73.82487,OZONE,1,124,5
India,Maharashtra,Nagpur,"Mahal, Nagpur - MPCB","07-11-2024 05:00:00",21.14472,79.107595,OZONE,1,95,19
India,Maharashtra,Nagpur,"Opp GPO Civil Lines, Nagpur - MPCB","07-11-2024 05:00:00",21.152875,79.0517531,OZONE,5,143,11
India,Maharashtra,Nashik,"Pandav Nagari, Nashik - MPCB","07-11-2024 05:00:00",19.9591346,73.7788008,OZONE,2,97,4
India,Maharashtra,"Navi Mumbai","Mahape, Navi Mumbai - MPCB","07-11-2024 05:00:00",19.1135051,73.008978,OZONE,15,24,18
India,Maharashtra,Solapur,"Ratandeep Housing Society, Solapur - MPCB","07-11-2024 05:00:00",17.65439,75.90649,OZONE,13,102,78
India,Maharashtra,Nashik,"MIDC Ambad, Nashik - MPCB","07-11-2024 05:00:00",19.950220,73.731480,OZONE,10,78,17
India,Maharashtra,Parbhani,"Masoom Colony, Parbhani - MPCB","07-11-2024 05:00:00",19.265594,76.761463,OZONE,25,99,56
India,Puducherry,Puducherry,"Jawahar Nagar, Puducherry - PPCC","07-11-2024 05:00:00",11.9309,79.8027,OZONE,32,84,35
India,Punjab,Rupnagar,"Ratanpura, Rupnagar - Ambuja Cements","07-11-2024 05:00:00",31.0325454,76.5623046,CO,42,90,70
India,Rajasthan,Bhiwadi,"RIICO Ind. Area III, Bhiwadi - RSPCB","07-11-2024 05:00:00",28.194909,76.862296,OZONE,8,61,14
India,Mizoram,Aizawl,"Sikulpuikawn, Aizawl - Mizoram PCB","07-11-2024 05:00:00",23.7176342,92.7192841,OZONE,1,93,4
